customer_id,cluster,cluster_name
3,4,Young Promotion Seekers
4,6,Hygiene & Wellness Shoppers
5,2,Pet-Oriented Regulars
7,5,Loyal High-Value Grocery Shoppers
8,3,Tech & Alcohol Shoppers
9,1,Vegetable-Focused Seniors
10,0,Family Stock-Up Shoppers
11,5,Loyal High-Value Grocery Shoppers
12,4,Young Promotion Seekers
14,1,Vegetable-Focused Seniors
15,6,Hygiene & Wellness Shoppers
16,4,Young Promotion Seekers
18,3,Tech & Alcohol Shoppers
19,2,Pet-Oriented Regulars
20,5,Loyal High-Value Grocery Shoppers
22,6,Hygiene & Wellness Shoppers
24,1,Vegetable-Focused Seniors
25,4,Young Promotion Seekers
26,5,Loyal High-Value Grocery Shoppers
27,4,Young Promotion Seekers
28,4,Young Promotion Seekers
29,2,Pet-Oriented Regulars
30,1,Vegetable-Focused Seniors
31,5,Loyal High-Value Grocery Shoppers
33,2,Pet-Oriented Regulars
34,2,Pet-Oriented Regulars
35,2,Pet-Oriented Regulars
36,0,Family Stock-Up Shoppers
37,5,Loyal High-Value Grocery Shoppers
38,2,Pet-Oriented Regulars
39,5,Loyal High-Value Grocery Shoppers
40,0,Family Stock-Up Shoppers
41,1,Vegetable-Focused Seniors
42,4,Young Promotion Seekers
44,6,Hygiene & Wellness Shoppers
46,6,Hygiene & Wellness Shoppers
47,4,Young Promotion Seekers
48,4,Young Promotion Seekers
49,0,Family Stock-Up Shoppers
50,5,Loyal High-Value Grocery Shoppers
52,3,Tech & Alcohol Shoppers
53,4,Young Promotion Seekers
54,3,Tech & Alcohol Shoppers
55,0,Family Stock-Up Shoppers
56,4,Young Promotion Seekers
57,4,Young Promotion Seekers
59,2,Pet-Oriented Regulars
60,2,Pet-Oriented Regulars
61,1,Vegetable-Focused Seniors
62,0,Family Stock-Up Shoppers
63,1,Vegetable-Focused Seniors
64,4,Young Promotion Seekers
66,1,Vegetable-Focused Seniors
69,6,Hygiene & Wellness Shoppers
70,5,Loyal High-Value Grocery Shoppers
71,1,Vegetable-Focused Seniors
72,6,Hygiene & Wellness Shoppers
73,3,Tech & Alcohol Shoppers
74,6,Hygiene & Wellness Shoppers
75,3,Tech & Alcohol Shoppers
76,2,Pet-Oriented Regulars
77,1,Vegetable-Focused Seniors
78,0,Family Stock-Up Shoppers
79,5,Loyal High-Value Grocery Shoppers
80,4,Young Promotion Seekers
81,4,Young Promotion Seekers
82,4,Young Promotion Seekers
83,3,Tech & Alcohol Shoppers
84,5,Loyal High-Value Grocery Shoppers
85,2,Pet-Oriented Regulars
86,5,Loyal High-Value Grocery Shoppers
87,5,Loyal High-Value Grocery Shoppers
89,1,Vegetable-Focused Seniors
90,3,Tech & Alcohol Shoppers
91,4,Young Promotion Seekers
92,4,Young Promotion Seekers
94,1,Vegetable-Focused Seniors
95,5,Loyal High-Value Grocery Shoppers
97,4,Young Promotion Seekers
100,4,Young Promotion Seekers
102,3,Tech & Alcohol Shoppers
103,6,Hygiene & Wellness Shoppers
105,0,Family Stock-Up Shoppers
106,3,Tech & Alcohol Shoppers
107,5,Loyal High-Value Grocery Shoppers
108,4,Young Promotion Seekers
109,6,Hygiene & Wellness Shoppers
110,2,Pet-Oriented Regulars
111,1,Vegetable-Focused Seniors
112,4,Young Promotion Seekers
113,2,Pet-Oriented Regulars
114,2,Pet-Oriented Regulars
115,3,Tech & Alcohol Shoppers
116,3,Tech & Alcohol Shoppers
117,5,Loyal High-Value Grocery Shoppers
119,1,Vegetable-Focused Seniors
120,6,Hygiene & Wellness Shoppers
121,5,Loyal High-Value Grocery Shoppers
122,0,Family Stock-Up Shoppers
123,0,Family Stock-Up Shoppers
124,6,Hygiene & Wellness Shoppers
125,1,Vegetable-Focused Seniors
126,2,Pet-Oriented Regulars
127,0,Family Stock-Up Shoppers
128,3,Tech & Alcohol Shoppers
129,6,Hygiene & Wellness Shoppers
130,2,Pet-Oriented Regulars
131,2,Pet-Oriented Regulars
132,2,Pet-Oriented Regulars
134,4,Young Promotion Seekers
135,2,Pet-Oriented Regulars
136,4,Young Promotion Seekers
137,1,Vegetable-Focused Seniors
138,4,Young Promotion Seekers
139,1,Vegetable-Focused Seniors
141,6,Hygiene & Wellness Shoppers
142,5,Loyal High-Value Grocery Shoppers
144,3,Tech & Alcohol Shoppers
145,3,Tech & Alcohol Shoppers
146,1,Vegetable-Focused Seniors
147,5,Loyal High-Value Grocery Shoppers
148,1,Vegetable-Focused Seniors
149,0,Family Stock-Up Shoppers
152,4,Young Promotion Seekers
154,3,Tech & Alcohol Shoppers
157,2,Pet-Oriented Regulars
158,0,Family Stock-Up Shoppers
159,2,Pet-Oriented Regulars
160,1,Vegetable-Focused Seniors
161,2,Pet-Oriented Regulars
162,4,Young Promotion Seekers
163,1,Vegetable-Focused Seniors
165,0,Family Stock-Up Shoppers
166,5,Loyal High-Value Grocery Shoppers
168,4,Young Promotion Seekers
170,3,Tech & Alcohol Shoppers
171,4,Young Promotion Seekers
172,1,Vegetable-Focused Seniors
173,4,Young Promotion Seekers
174,2,Pet-Oriented Regulars
176,4,Young Promotion Seekers
179,4,Young Promotion Seekers
180,5,Loyal High-Value Grocery Shoppers
182,4,Young Promotion Seekers
184,0,Family Stock-Up Shoppers
185,5,Loyal High-Value Grocery Shoppers
186,0,Family Stock-Up Shoppers
187,3,Tech & Alcohol Shoppers
188,1,Vegetable-Focused Seniors
189,6,Hygiene & Wellness Shoppers
191,2,Pet-Oriented Regulars
192,4,Young Promotion Seekers
193,1,Vegetable-Focused Seniors
195,2,Pet-Oriented Regulars
196,4,Young Promotion Seekers
197,1,Vegetable-Focused Seniors
198,4,Young Promotion Seekers
199,2,Pet-Oriented Regulars
200,5,Loyal High-Value Grocery Shoppers
201,0,Family Stock-Up Shoppers
202,2,Pet-Oriented Regulars
203,4,Young Promotion Seekers
204,5,Loyal High-Value Grocery Shoppers
205,6,Hygiene & Wellness Shoppers
206,5,Loyal High-Value Grocery Shoppers
207,5,Loyal High-Value Grocery Shoppers
208,0,Family Stock-Up Shoppers
210,2,Pet-Oriented Regulars
211,5,Loyal High-Value Grocery Shoppers
212,2,Pet-Oriented Regulars
213,2,Pet-Oriented Regulars
214,4,Young Promotion Seekers
215,4,Young Promotion Seekers
216,2,Pet-Oriented Regulars
217,4,Young Promotion Seekers
218,2,Pet-Oriented Regulars
219,5,Loyal High-Value Grocery Shoppers
220,2,Pet-Oriented Regulars
221,0,Family Stock-Up Shoppers
225,4,Young Promotion Seekers
226,1,Vegetable-Focused Seniors
229,0,Family Stock-Up Shoppers
231,0,Family Stock-Up Shoppers
232,2,Pet-Oriented Regulars
233,4,Young Promotion Seekers
235,2,Pet-Oriented Regulars
236,3,Tech & Alcohol Shoppers
238,4,Young Promotion Seekers
240,3,Tech & Alcohol Shoppers
241,2,Pet-Oriented Regulars
242,4,Young Promotion Seekers
243,6,Hygiene & Wellness Shoppers
244,2,Pet-Oriented Regulars
245,2,Pet-Oriented Regulars
248,5,Loyal High-Value Grocery Shoppers
249,2,Pet-Oriented Regulars
250,1,Vegetable-Focused Seniors
251,4,Young Promotion Seekers
254,4,Young Promotion Seekers
256,5,Loyal High-Value Grocery Shoppers
257,5,Loyal High-Value Grocery Shoppers
258,2,Pet-Oriented Regulars
259,4,Young Promotion Seekers
260,3,Tech & Alcohol Shoppers
261,0,Family Stock-Up Shoppers
262,4,Young Promotion Seekers
263,3,Tech & Alcohol Shoppers
264,6,Hygiene & Wellness Shoppers
265,4,Young Promotion Seekers
266,4,Young Promotion Seekers
270,6,Hygiene & Wellness Shoppers
272,2,Pet-Oriented Regulars
274,0,Family Stock-Up Shoppers
276,4,Young Promotion Seekers
278,5,Loyal High-Value Grocery Shoppers
279,2,Pet-Oriented Regulars
280,0,Family Stock-Up Shoppers
282,2,Pet-Oriented Regulars
283,2,Pet-Oriented Regulars
284,4,Young Promotion Seekers
285,1,Vegetable-Focused Seniors
286,0,Family Stock-Up Shoppers
287,2,Pet-Oriented Regulars
288,5,Loyal High-Value Grocery Shoppers
290,5,Loyal High-Value Grocery Shoppers
292,2,Pet-Oriented Regulars
293,5,Loyal High-Value Grocery Shoppers
295,2,Pet-Oriented Regulars
296,2,Pet-Oriented Regulars
297,6,Hygiene & Wellness Shoppers
298,2,Pet-Oriented Regulars
299,0,Family Stock-Up Shoppers
300,3,Tech & Alcohol Shoppers
301,2,Pet-Oriented Regulars
303,6,Hygiene & Wellness Shoppers
304,2,Pet-Oriented Regulars
305,2,Pet-Oriented Regulars
306,2,Pet-Oriented Regulars
307,6,Hygiene & Wellness Shoppers
308,5,Loyal High-Value Grocery Shoppers
310,5,Loyal High-Value Grocery Shoppers
311,6,Hygiene & Wellness Shoppers
312,4,Young Promotion Seekers
313,2,Pet-Oriented Regulars
315,2,Pet-Oriented Regulars
317,6,Hygiene & Wellness Shoppers
321,4,Young Promotion Seekers
322,5,Loyal High-Value Grocery Shoppers
323,4,Young Promotion Seekers
324,6,Hygiene & Wellness Shoppers
325,0,Family Stock-Up Shoppers
326,0,Family Stock-Up Shoppers
328,4,Young Promotion Seekers
329,6,Hygiene & Wellness Shoppers
330,2,Pet-Oriented Regulars
331,3,Tech & Alcohol Shoppers
336,4,Young Promotion Seekers
337,2,Pet-Oriented Regulars
338,3,Tech & Alcohol Shoppers
339,5,Loyal High-Value Grocery Shoppers
340,5,Loyal High-Value Grocery Shoppers
341,4,Young Promotion Seekers
342,0,Family Stock-Up Shoppers
343,4,Young Promotion Seekers
344,0,Family Stock-Up Shoppers
346,4,Young Promotion Seekers
347,0,Family Stock-Up Shoppers
350,2,Pet-Oriented Regulars
351,2,Pet-Oriented Regulars
352,2,Pet-Oriented Regulars
353,0,Family Stock-Up Shoppers
355,2,Pet-Oriented Regulars
356,6,Hygiene & Wellness Shoppers
358,1,Vegetable-Focused Seniors
360,2,Pet-Oriented Regulars
361,5,Loyal High-Value Grocery Shoppers
362,2,Pet-Oriented Regulars
363,3,Tech & Alcohol Shoppers
364,1,Vegetable-Focused Seniors
365,1,Vegetable-Focused Seniors
366,1,Vegetable-Focused Seniors
