customer_id,number_complaints,distinct_stores_visited,lifetime_total_distinct_products,percentage_of_products_bought_promotion,customer_loyalty_flag,latitude,longitude,typical_hour_sin,typical_hour_cos,customer_age,education_level,is_male,tenure,total_children,pct_spend_groceries,pct_spend_vegetables,pct_spend_nonalcohol_drinks,pct_spend_alcohol_drinks,pct_spend_meat,pct_spend_fish,pct_spend_hygiene,pct_spend_petfood,pct_spend_technology,log_total_spend
3,1,3,189,0.631598739079086,1,38.79442787189893,-9.21573941941328,0.15176380902050418,-0.4063504150165533,56.0,15,0,6,2,0.6310381925766542,0.020064550833781603,0.017374932759548146,0.009521247982786444,0.001506186121570737,0.011457772996234534,0.029693383539537387,0.020656266810112962,0.2586874663797741,9.830432871630217
4,0,2,130,0.1498902493395143,1,38.75171109471023,-9.17961146619482,-0.14823619097949575,-0.7395953267715891,50.0,15,0,13,1,0.6768151040379577,0.09944150644985914,0.0263431028517768,0.004695299757821381,0.0021252409430138884,0.0007413631196560075,0.09291751099688628,0.03286709830474967,0.06405377353827905,9.915119636765835
5,0,2,81,0.0691255069323915,0,38.7806775225494,-9.16065569234224,0.258819045102521,-0.9659258262890682,54.0,17,1,21,0,0.7979291272750659,0.03569361373721783,0.006495594571998199,0.007588912470255322,0.08135571419383883,0.0175573991896585,0.03260659849508007,0.014277445494887131,0.006495594571998199,9.65181591760738
7,2,1,92,0.253609260797035,1,38.7395484361888,-9.14867873262084,-1.0,-1.6653345369377348e-16,43.0,12,1,5,0,0.5011369716425896,0.0056179775280898875,0.050628678437667204,0.07577581594435527,0.06500802568218299,0.07243178170144463,0.032437132156233284,0.012306046013911182,0.18465757089352594,9.612667227583843
8,2,1,6,0.1865687348395157,1,38.733071481512525,-9.18818784180837,-0.9659258262890684,-0.25881904510252063,56.0,12,1,5,0,0.38582602761299806,0.01595884298388367,0.024862197490681925,0.030153813848495983,0.04485274817575726,0.04262690954905769,0.01247309570056171,0.018520657252349203,0.4247257073862145,10.07795543312628
9,1,6,84,0.1506456602849799,1,38.73557687527516,-9.172423167155566,1.0,5.551115123125783e-17,57.0,17,0,15,2,0.7771655320269305,0.08030240343024787,0.019088276225222855,0.017066611501861815,0.0012694173844360027,0.0035731748598939335,0.02411893030428405,0.012487305826155641,0.0649283484409674,9.965081116541134
10,0,1,202,0.2754122773297123,1,38.730322477032075,-9.144022385203078,0.7071067811865476,-0.7071067811865475,55.0,22,1,12,3,0.6236364961948079,0.036004912819880094,0.015086170636367203,0.055241182441716344,0.03917356947770443,0.04831500372948084,0.024844511494091715,0.0033369039139920023,0.15436124929195946,10.48186340768406
11,1,6,180,0.1642509924715683,1,38.739327834608034,-9.225046721736746,0.4999999999999999,-0.8660254037844387,48.0,15,1,9,2,0.7908231043094744,0.00504808969658324,0.010919815080503745,0.017030660502683457,0.023141505924863172,0.01942186088527552,0.03294542749349062,0.010547850576544981,0.0901216855305808,10.535796025864991
12,0,2,29,0.7002509364955589,0,38.74861570702996,-9.167756169633098,-1.0,-1.6653345369377348e-16,26.0,22,0,8,0,0.7242859372561261,0.00975495551740284,0.004682378648353363,0.120883408771656,0.010847510535351958,0.04666770719525519,0.052520680505696894,0.004994537224910255,0.025362884345247385,9.458371638798171
14,1,3,57,0.1973528031772604,1,38.788819494073906,-9.184157680069834,1.1796119636642288e-16,-1.0,77.0,17,1,9,1,0.548597745394556,0.1140362936486115,0.05492163871322519,0.008592246356887545,0.010173219686554854,0.0016497113005224085,0.0957519934011548,0.006186417376959032,0.16009073412152874,9.585277541715389
15,0,3,154,0.1113161982340499,1,38.760359275134725,-9.07835954778907,0.9659258262890683,-0.25881904510252063,77.0,15,1,12,1,0.5333087693441415,0.13316138540899042,0.037361827560795875,0.0030950626381724394,0.022402358142962417,0.01296978629329403,0.17037582903463522,0.03249815770081061,0.05482682387619749,9.51569044208137
16,1,6,37,1.0,1,38.78541245732896,-9.152032204165351,-0.707106781186547,-0.7071067811865479,25.0,15,0,5,0,0.733668009776075,0.04095382786181386,0.010700838892925557,0.01202193011427439,0.07226368980778122,0.03216857123984411,0.04009511856793711,0.045115265209062685,0.013012748530286016,9.625095526991439
18,2,1,134,0.4091402734153587,1,38.74600841010293,-9.15622923060766,-0.8660254037844386,0.5000000000000002,29.0,12,1,8,1,0.4242283310922161,0.004205886218645422,0.023213256629831463,0.02851105561677906,0.05051107583738588,0.029805174453285344,0.008290448796368383,0.022242667502451748,0.40899210385303664,10.115701593757612
19,2,3,65,0.15752860209996297,1,38.78699922945693,-9.135196125512602,-0.9659258262890684,0.25881904510252024,78.0,22,0,19,3,0.5490300292319957,0.017672070156789794,0.02650810523518469,0.0341482859420675,0.06803082646824342,0.09334307733191602,0.05441137390380016,0.035410576667552485,0.12144565506245017,9.619332585860503
20,1,5,253,0.4308490612060748,1,38.75274681712484,-9.135250341406646,-0.8660254037844386,0.5000000000000002,80.0,17,0,9,1,0.8607147243030824,0.009701584182733636,0.013926071472430308,0.015252363993614147,0.024560972614515536,0.022350485079209136,0.038315117278644235,0.006263048016701462,0.00891563305906914,10.61437641457223
22,1,3,205,0.0320563109521218,1,38.756582425623094,-9.15436602277348,-0.4999999999999998,-0.8660254037844388,82.0,15,1,7,2,0.7216887884778311,0.062364680410430196,0.025934293514073236,0.012096394615457027,0.005506918949449308,0.007060152499293985,0.09681822460698485,0.022263014214440366,0.04626753271203991,9.963970987915639
24,0,2,139,0.06604019219305868,1,38.74710885689428,-9.186784838800778,-0.9659258262890684,-0.25881904510252063,59.0,22,0,14,2,0.7596881792969042,0.07937935686979987,0.019001574094895436,0.015291207555655498,0.0014991379956525,0.001986357844239562,0.03335582040326812,0.012817629862828873,0.07698073607675586,10.191781937486343
