,customer_id,Cluster
0,29930,Extended Household
14999,2182,Extended Household
3431,23016,Extended Household
3430,12539,Extended Household
15013,2287,Extended Household
15015,12042,Extended Household
15016,15534,Extended Household
15026,37747,Extended Household
14995,24275,Extended Household
3425,4601,Extended Household
15028,20191,Extended Household
15036,18062,Extended Household
3421,23668,Extended Household
15040,37340,Extended Household
15047,37712,Extended Household
15048,7413,Extended Household
15049,25728,Extended Household
3424,28434,Extended Household
3416,14608,Extended Household
14990,5444,Extended Household
14971,15001,Extended Household
14872,22489,Extended Household
14875,19040,Extended Household
14876,5301,Extended Household
14880,6238,Extended Household
14889,13431,Extended Household
14890,34788,Extended Household
14897,19304,Extended Household
14977,21119,Extended Household
14910,10357,Extended Household
14921,31861,Extended Household
14942,7443,Extended Household
14945,5964,Extended Household
14952,26682,Extended Household
14954,25284,Extended Household
14968,25795,Extended Household
3437,13463,Extended Household
14918,30282,Extended Household
14863,16727,Extended Household
3415,30161,Extended Household
15057,5404,Extended Household
15177,29743,Extended Household
15200,28819,Extended Household
15204,18580,Extended Household
15205,29516,Extended Household
15206,4952,Extended Household
15208,35717,Extended Household
3386,9332,Extended Household
15170,12578,Extended Household
15241,28670,Extended Household
15246,28358,Extended Household
15248,8341,Extended Household
15267,12232,Extended Household
15278,17468,Extended Household
15280,39537,Extended Household
15282,27387,Extended Household
15299,5650,Extended Household
15242,7827,Extended Household
15056,16553,Extended Household
3394,13044,Extended Household
3396,5922,Extended Household
15058,8722,Extended Household
15060,29292,Extended Household
15080,4530,Extended Household
3409,15595,Extended Household
3408,24177,Extended Household
15088,19686,Extended Household
15089,19030,Extended Household
15149,2436,Extended Household
15095,4295,Extended Household
15100,25152,Extended Household
15113,5943,Extended Household
15114,26188,Extended Household
3400,19897,Extended Household
15117,34194,Extended Household
15136,22101,Extended Household
3397,31890,Extended Household
15098,19126,Extended Household
15301,8470,Extended Household
14858,20262,Extended Household
14833,27565,Extended Household
14636,8770,Extended Household
14641,4819,Extended Household
14644,9446,Extended Household
14645,28562,Extended Household
3508,32518,Extended Household
14646,30422,Extended Household
14647,5064,Extended Household
14634,14082,Extended Household
3505,25287,Extended Household
14662,16074,Extended Household
14663,21693,Extended Household
14666,20121,Extended Household
14670,6206,Extended Household
14671,2303,Extended Household
14680,3623,Extended Household
3497,27134,Extended Household
14660,10842,Extended Household
3496,3647,Extended Household
14629,29918,Extended Household
3516,15417,Extended Household
14516,23690,Extended Household
3531,16054,Extended Household
14521,32894,Extended Household
3529,12162,Extended Household
