customer_id,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,customer_loyalty_flag,latitude,longitude,typical_hour_sin,typical_hour_cos,customer_age,education_level,is_male,tenure,total_children,lifetime_spend_technology,log_total_spend,total_spend,electronics_share,vegetables_share,nonalcohol_drinks_share,alcohol_drinks_share,meat_share,fish_share,hygiene_share,videogames_share,petfood_share,technology_share
3,1.0,1.0,1.0,3.0,11731.0,4553.0,373.00000000000006,323.0,177.0,28.0,213.0,552.0,256.0,384.0,189.0,0.631598739079086,1,38.79442787189893,-9.21573941941328,0.01034245278319465,-0.26492905877924366,56.0,15,0,6.0,2.0,4809.0,10.060491301345794,23399.0,0.19458096499842104,0.015940852173162982,0.013804008718315396,0.0075644258301604496,0.0011966323347146473,0.00910295311765071,0.023590751741517334,0.010940638488819633,0.01641095773322945,0.2055216034872407
4,1.0,0.0,0.0,2.0,13694.0,963.0,2012.0,533.0,95.0,43.0,15.0,1880.0,333.0,665.0,130.0,0.1498902493395143,1,38.75171109471023,-9.17961146619482,0.19318516525781376,-0.8810166830088987,50.0,15,0,13.0,1.0,1296.0,9.97720259035841,21529.0,0.044730363695459734,0.09345533930972481,0.024757304101433064,0.004412652701005893,0.0019973059594026676,0.0006967346370009305,0.08732407450411662,0.015467508941420656,0.03088856890704125,0.060197872636880395
5,0.0,0.0,0.0,2.0,12407.0,0.0,555.0,101.0,118.0,1265.0,273.0,507.0,101.0,222.0,81.0,0.0691255069323915,0,38.7806775225494,-9.16065569234224,0.25881904510252096,-0.9659258262890682,54.0,17,1,21.0,0.0,101.0,9.658290091690503,15650.0,0.0,0.03546325878591983,0.006453674121401627,0.007539936102231603,0.08083067092646593,0.017444089456857863,0.0323961661341646,0.006453674121401627,0.014185303514367932,0.006453674121401627
7,0.0,0.0,2.0,1.0,7493.0,1105.0,84.0,757.0,1133.0,972.0,1083.0,484.99999999999994,748.5,184.0,92.0,0.253609260797035,1,38.7395484361888,-9.14867873262084,-1.0,-1.6653345369377348e-16,43.0,12,1,5.0,0.0,2761.0,9.782110566369528,17713.0,0.0623835600970686,0.004742279681587115,0.04273697284477912,0.06396431999093097,0.054874950601222335,0.061141534466176733,0.02738101959011608,0.031979345953621945,0.010387850731095586,0.15587421667692888
8,0.0,0.0,2.5,1.0,9187.0,8489.0,380.0,592.0,718.0,1068.0,1015.0,297.0,748.5,441.0,6.0,0.1865687348395157,1,38.733071481512525,-9.18818784180837,-0.9659258262890682,-0.25881904510252063,56.0,12,1,5.0,0.0,9265.375,10.542627232264719,37896.0,0.2622972267669297,0.010027443529657476,0.015621701498834807,0.018946590669194917,0.028182393920195226,0.026783829427900894,0.007837238758705976,0.031979345953621945,0.011637112096260388,0.2812941382650733
9,1.0,1.0,1.0,6.0,16530.0,1156.0,1708.0,406.0,363.0,27.0,76.0,513.0,225.0,209.8,84.0,0.1506456602849799,1,38.73557687527516,-9.172423167155566,1.0,5.551115123125783e-17,57.0,17,0,15.0,2.0,1381.0,10.025519327281888,22594.8,0.05116221431477545,0.07559261422978933,0.017968736169376155,0.01606564342237326,0.0011949652132343747,0.003363605785400462,0.02270433905145312,0.00995804344361979,0.009285322286539697,0.06112025775839524
10,2.0,1.0,0.0,1.0,22240.0,5315.799999999999,1284.0,538.0,1924.5,1397.0,1723.0,886.0,203.0,119.00000000000003,202.0,0.2754122773297123,1,38.730322477032075,-9.144022385203078,0.7071067811865476,-0.7071067811865475,55.0,22,1,12.0,3.0,5518.799999999999,10.626086733518001,41194.600000000006,0.1290411850096544,0.031169133818502625,0.013059964170057954,0.047821801886643436,0.03391221179474156,0.041825870381059206,0.021507673335820345,0.00492783034669473,0.002888728134269325,0.1339690153563491
11,1.0,1.0,1.0,6.0,29765.0,1543.0,190.0,411.0,641.0,871.0,731.0,1240.0,748.5,397.0,180.0,0.1642509924715683,1,38.739327834608034,-9.224917499943274,0.4999999999999999,-0.8660254037844387,48.0,15,1,9.0,2.0,3392.0,10.62208315754966,41030.0,0.03760662929562818,0.004630757981963288,0.010017060687299533,0.01562271508651825,0.02122836948573697,0.017816232025342965,0.030221788934918302,0.031979345953621945,0.009675846941260132,0.08267121618326038
12,0.0,0.0,0.0,2.0,9281.0,254.0,125.0,60.0,1549.0,139.0,598.0,673.0,71.0,64.0,29.0,0.6688514076115653,0,38.74861570702996,-9.167756169633098,-1.0,-1.6653345369377348e-16,26.0,22,0,8.0,0.0,325.0,9.483416292038601,13139.0,0.019331760407931095,0.009513661618076326,0.004566557576676637,0.07124260413854765,0.010579191719300876,0.045513357180877144,0.05122155415172294,0.005403759799067353,0.004870994748455079,0.02473552020699845
14,1.0,0.0,1.0,3.0,7981.0,2151.0,1659.0,799.0,125.0,148.0,24.0,1393.0,178.0,90.00000000000003,57.0,0.19735280317726042,1,38.788819494073906,-9.184157680069834,1.249000902703301e-16,-1.0,77.0,17,1,9.0,1.0,2329.0,9.733766277717912,16877.0,0.12745156129636342,0.09829946080458712,0.04594792736900587,0.007406529596487878,0.008769331042241648,0.0014220536825256726,0.08253836582326092,0.010546898145398739,0.005332701309471275,0.13799845944176214
